start	end	text
0	2000	프로세스.
2000	4000	네.
4000	12000	프로세스는 그냥 옛날에 같았으면 프로덕 매니저가 리카면먼트에 갖고 와가지고 하는 건데
12000	17000	여전히 저희는 비투비다 보니까 컷스모들이 피드백을 죽인 주거든요.
17000	23000	그런 거를 모으기가 점점 쉬워지잖아요. mcp 같은 거 연결해가지고 하면 되니까.
23000	27000	그래서 그런 걸로 약간 공통적인 힘을 만드는 것 같아요.
27000	34000	힘을 만들어서 그걸 이제 리카면먼트 같은 경우에는 다 대부분 이제 많이 돌리죠.
34000	42000	그런 AI 돌려서 리카면먼트랑 PRD 같은 것도 디자이너가 만져도 그냥 만들기도 하고
43000	49000	그러면 이제 제일 편해진 거는 이제 제가 이제 코드베이스를 다 볼 수 있을까.
49000	58000	지금 이제 로지기 모고 뭐 빼먹은 건 그런 것들을 알 수 있으니까 그런 것들도 다 이렇게 체크해 놓고.
58000	61000	뻥치지만 코드 안 보고 크다한테 물어보자.
61000	64000	저 코드를 대신 봐주죠.
65000	71000	이거 때문에 사실 이게 엔진이어드로한테 물어보면 엔진이어드로 이제 시간이 없으니까
71000	77000	걔들도 한참 이따가 막 대답해 죽은 걔네들도 잘 모르는 경우도 있는데
77000	81000	이게 약간은 정확하게 좀 알려주니까.
81000	89000	이제는 사실 윗포만 쉬어 한다고 하게 되면 이거를 엑세스가 생기는 게 장난이 아니게 되버린 것 같아요.
90000	93000	난 파워가 정말로 많이 있는 것.
93000	96000	정말를 진짜 어떻게 쓰는 일에 따라서 되게 다른 것 같아요.
96000	104000	그런데 저희 회사가 되게 재밌는 게 지금 AI 제품이 최근에 런칭이가 됐거든요.
104000	107000	리투링 AI라는 게 나왔는데.
107000	111000	그래서 아직은 최유아의 기반이긴 해요.
112000	118000	저희 회사가 잘하는 것 중에 하나가 데이터, 파이프라인이 다 깔려있거든요.
118000	120000	임프라가.
120000	122000	저희가 하는 게 HTML.
122000	127000	레이커 먹기 때문에 SFV도 안 하고 잘 깔아놨겠네.
127000	133000	그런 거가 잘 깔려있어서 그 위에다가 얻는 거는 되게 잘하는 것 같아요.
133000	139000	그리고 그게 저희가 어땠는지를 가져갈 수 있는 다른 컴퓨터들 SFV도 마쳐서
139000	146000	석스 스펙터나 목페이보다는 이제는 저희가 저희는 다 자체적으로 만들거든요.
146000	150000	그다 보니까 데이터들이 다 한 곳에 모여있어가지고
150000	153000	이제 약간 데이터가
153000	155000	클라이언트 데이터잖아.
155000	160000	클라이언트 데이터들을 그쵸.
160000	164000	가공에서 저희가 내부적으로 쓰는 게 아니라
165000	170000	클라이언트들이 그거를 물어보고 가져갈 수가 있는 거죠.
170000	175000	그래서 그런 거를 하고 있는데
175000	181000	요즘이 재밌는 게 제가 지금 2년 됐거든요.
181000	182000	2년 조금 넘었는데.
182000	184000	벌써 거기 됐어?
184000	190000	디자이너 40년 넘는데 그 중에 반 이상이 바뀌었어요.
191000	192000	그다는 게 뭔 소리야?
192000	196000	그러니까 나가고 들어온 거죠.
196000	200000	그래서 새로 들어온 것 같아요.
200000	202000	리더십이 바뀌기도 했어요.
202000	204000	그러니까 디자인 리더십이 바뀌어서
204000	207000	옛날에 있는 사람들 내보내기도 했고
207000	212000	약간 재밌는 게 지금 이제 GUI 하는 친구들의
212000	215000	아무래도 저희가 스타트업이니까
215000	218000	스피드가 조금 더 아직 스타트업이죠.
218000	222000	아이피를 안 할 수 있으니까.
222000	226000	스피드가 중요했다면 이제는 어느 정도
226000	229000	멈춰돼 있는 프로덕들이 많아가지고
229000	233000	이거를 AITB, AIDATV 프로덕으로 어떻게
233000	238000	가공을 할까라는 거를 고민을 하고 있어요.
238000	242000	그래서 그거를 고민하는 디자이너들이 있는 거고
242000	245000	이제 약간 저는 2년 됐으니까
